visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
543,311,2,3,8,219,51,78,69,85,42,13
1507,1348,8,10,15,126,312,423,162,247,207,68
806,658,6,2,2,138,109,232,143,129,96,40
4106,2858,36,47,57,1108,537,1077,652,516,245,105
11840,10403,79,40,40,1278,2220,2087,2012,2255,1658,1310
2799,2176,14,5,5,599,466,462,508,412,449,359
566,464,4,9,8,81,62,131,108,84,82,30
933,647,4,3,4,275,60,278,183,123,116,59
4423,2364,719,94,190,1056,328,1072,969,719,414,120
58,40,0,0,1,17,6,9,7,9,10,4
15587,0,0,0,0,15587,646,1183,1702,3842,4375,3839
578112,451570,3625,388,44291,78238,78339,160089,142873,76689,57236,46840
329652,318985,2195,165,2957,5350,73005,86736,44324,56869,40649,25113
109273,106682,73,17,1088,1413,27979,20487,19175,22826,11041,6752
65958,64438,74,6,474,966,17324,10910,9862,13538,8452,5022
6321,6258,3,0,49,11,1892,1247,1254,944,549,434
41817,13342,144,157,305,27869,1166,4750,5078,3102,1809,860
18210,8337,103,262,814,8694,1202,4007,2885,1896,1160,491
32830,24857,50,318,423,7182,2071,9056,7269,4133,2621,1754
43583,28562,1020,245,4152,9604,5706,10881,9670,5962,4391,1906
17001,3870,2850,114,341,9826,503,2057,2938,1596,708,334
20520,16892,115,13,690,2810,2717,5781,3784,2816,1941,1052
13008,11003,206,8,367,1424,798,3102,2547,2282,1865,1117
9626,5984,106,228,1762,1546,1954,2418,2557,1647,757,241
7983,2707,590,9,1379,3298,923,2441,2298,1127,446,229
5523,1373,9,80,212,3849,113,1221,1048,351,137,43
5285,4922,15,19,178,151,1559,1524,1053,550,419,133
4948,2810,14,20,611,1493,971,1417,965,647,372,224
3015,1625,17,45,212,1116,244,710,488,326,150,57
2619,1008,51,137,158,1265,205,1178,815,173,110,138
1916,401,47,7,84,1377,31,591,618,172,67,23
1868,381,142,89,271,985,98,611,604,212,101,33
1191,315,181,22,340,333,82,457,388,121,84,20
1110,1029,10,1,17,53,155,255,163,235,166,133
526,348,29,7,63,79,107,114,157,76,44,15
6449,2715,397,209,799,2329,748,2169,1731,774,374,140
