year,class_1,class_2,case_num,less_500,over_500,over_1000,over_1500,over_2000,over_3000,over_max,avg_ex
2016,거주국,러시아,138,15.8,23.6,15.3,11.4,14.2,16.7,2.9,1783.3
2016,거주국,중동전체,135,8.8,13.3,11.3,6.8,16.3,32.6,10.8,2593.8
2016,거주국,인도,57,29.5,27,12.5,8.7,8.7,12.1,1.6,1466.3
2016,거주국,기타,944,21.4,34,19.3,8,6.5,9.5,1.3,1337.2
2016,성별,남성,4960,18,28.3,20.7,11.8,9.7,9.9,1.6,1439.1
2016,성별,여성,7043,10.5,25.2,22.3,14.4,12.2,13.8,1.6,1756.4
2016,연령,15~20세,730,12.9,29.8,18.5,16,10.7,10.2,1.9,1510.7
2016,연령,21~30세,5231,11.6,25,22.9,14.2,11.6,13.2,1.5,1710.2
2016,연령,31~40세,3286,11.8,23.2,21.9,14.1,12.4,14.7,1.9,1780.7
2016,연령,41~50세,1581,18.1,31,19.3,12.1,9.2,8.7,1.6,1382.5
2016,연령,51~60세,859,21.6,33.3,20.7,7.4,9.4,6.6,1,1231.7
2016,연령,61세 이상,287,23.1,39.5,16.2,7.9,6.4,6.3,0.7,1184.3
2016,연령,모름/무응답,29,37.6,8.5,42.6,-1,1.5,3.7,6.1,961.8
2016,방한목적,여가/위락/휴식,7180,10.4,27.8,25.7,14.2,11.7,9.2,1,1533.1
2016,방한목적,친구/친지방문,888,31.1,32.2,14.1,9,6.4,6.7,0.5,1139.8
2016,방한목적,사업/전문 활동,1797,27.6,29.2,14.9,8.9,7.7,9.5,2.2,1316.1
2016,방한목적,교육,480,6.2,12.3,12.4,13.3,16,35,4.8,2862.6
2016,방한목적,종교 순례,51,26.5,38.6,15,7.5,7.7,4.6,-1,984
2016,방한목적,기타,11,76.4,21.8,-1,1.9,-1,-1,-1,296.1
2016,방한목적,뷰티/건강/치료,75,3.9,11.3,9.1,10.7,11.3,32.3,21.4,2914.4
2016,방한목적,쇼핑,1521,4.3,18.3,18.8,17.5,14,24.7,2.3,2321.2
2016,여행형태,개별여행,8084,18.1,25.5,18.6,11.9,10.6,13.2,2.1,1625.5
2016,여행형태,단체여행,3002,4.1,24.1,29.7,18.3,12.2,11.3,0.5,1695.5
2016,여행형태,Air-tel Tour,917,5.9,43.3,21.7,9.3,12.7,6.6,0.4,1394.3
2016,방한횟수,1회,7375,12,25.3,23.5,14,12.2,11.4,1.5,1627.1
2016,방한횟수,2회,1522,10.6,26.4,21.9,16.6,11.4,11.8,1.4,1641.7
2016,방한횟수,3회,802,12.8,26,23.3,13.2,10.6,13.4,0.8,1674.3
2016,방한횟수,4회 이상,2304,21.1,30.5,14.8,9.1,7.9,14.4,2.2,1591.4
2016,직업,공무원 군인,505,12.8,25.6,20.9,15.2,13.4,11.2,0.9,1624.3
2016,직업,기업인 경영직,1156,17.8,27.7,19.1,10.9,9.6,13.2,1.8,1563
2016,직업,사무기술직,2434,15.4,28.3,22.7,13.7,10.3,8.8,0.8,1450.9
2016,직업,판매 서비스직,1423,14.3,30,22.4,13.7,10.7,7.6,1.3,1413.1
2016,직업,전문직,1118,14.3,28.1,19.2,12.5,14,10.7,1.2,1575.5
2016,직업,생산/기능/노무,422,12.2,30.7,26.1,13,10.3,5.8,1.7,1346.4
2016,직업,자영업자,1198,8.2,15.9,22.1,14.5,12.7,23.6,2.9,2264.9
2016,직업,학생,1927,13,26.4,21.1,12.9,11.3,13.3,2,1671.6
2016,직업,주부,557,15.8,26.9,20.7,10.1,8.4,15.7,2.3,1705.6
2016,직업,은퇴자,141,15.7,38.1,22.1,7.2,10.3,6,0.7,1264.1
2016,직업,무직,224,14.1,28.5,24.5,14,4.9,10.2,3.8,1442.2
2016,직업,기타,889,9.8,22.4,22.2,17.1,12.8,14.2,1.4,1824.1
2016,직업,무응답,10,11.5,33.8,20.9,-1,18.6,15.2,-1,1828.1
2017,전체,소계,13841,18.8,30.7,18.3,10.7,8.3,11.1,2,1481.6
2017,월별,1월,1259,19.7,30.1,17.5,11.1,9.3,10.8,1.5,1474.7
