년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-09,Poland,2570,18.54243542,0.176067917,1060,917,1870,14,1,17,668,149,656,543,343,166,120
19-09,Swiss,1923,15.35692861,0.131742648,1156,729,1795,20,7,11,90,122,504,358,324,338,239
19-09,Portugal,1000,12.48593926,0.068508917,465,420,840,11,0,5,144,37,230,259,180,106,73
19-09,Austria,1369,23.66757001,0.093788708,785,463,1186,7,3,7,166,68,386,250,209,206,129
19-09,Finland,1264,6.576728499,0.086595271,591,322,878,8,4,7,367,43,193,193,240,166,78
19-09,Belgium,1542,34.55497382,0.10564075,889,537,1300,15,9,20,198,97,461,271,253,235,109
19-09,Croatia,494,-6.79245283,0.033843405,220,73,277,5,2,3,207,5,65,96,74,39,14
19-09,Greece,1023,29.0037831,0.070084622,578,199,717,29,1,2,274,47,149,226,135,133,87
19-09,Bulgaria,633,8.205128205,0.043366145,277,136,370,3,19,5,236,19,93,114,106,68,13
19-09,Denmark,1244,19.0430622,0.085225093,764,408,1101,12,11,8,112,110,255,217,257,226,107
19-09,Ireland,1176,48.67256637,0.080566487,739,377,1007,5,4,3,157,31,323,298,210,158,96
19-09,Europe others,4421,25.41843972,0.302877923,2011,1305,3042,48,56,46,1229,178,1016,967,637,335,183
19-09,Austrailia,17269,12.79555846,1.18308049,8830,8103,15818,83,51,10,1307,2480,2243,2913,3062,2666,3569
19-09,New Zealand,4035,22.98079854,0.276433481,2083,1824,3393,26,9,1,606,547,645,736,567,694,718
19-09,Oceania others,526,-6.071428571,0.03603569,246,186,413,0,9,3,101,44,95,132,95,49,17
19-09,South Africa,1197,14.32664756,0.082005174,505,507,743,8,11,7,428,34,371,265,143,132,67
19-09,Africa others,5119,38.3139692,0.350697147,3065,1030,2249,1145,85,297,1343,173,1068,1305,885,528,136
19-09,Stateless,49,-20.96774194,0.003356937,31,14,33,3,0,5,8,2,7,12,10,7,7
19-09,Overseas Korean,16619,-14.94882293,1.138549694,6868,9751,0,0,0,0,16619,289,1322,1743,3211,5033,5021
19-10,China,567695,19.43754247,34.27706279,204531,348980,476460,3967,547,12722,73999,24779,174516,152825,69650,69340,62401
19-10,Japan,248541,-14.43429225,15.00674739,86539,159473,241484,1897,438,556,4166,21039,69133,39807,43944,38912,33177
